# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  127       4.838625783029e-10       1.450396916721e-13      -5.329183365258e-12       0.000000000000e+00       5.295277297495e-12       8.775709028382e-13      -5.150626759192e-15 
  128       4.885248182565e-10       1.458489711887e-13      -5.394027560272e-12       0.000000000000e+00       5.181833159507e-12       8.633792313436e-13      -5.081731500856e-15 
  129       4.931902791508e-10       1.465958001358e-13      -5.456949875673e-12       0.000000000000e+00       5.071492833332e-12       8.495154012079e-13      -5.012828859623e-15 
  130       4.978577725243e-10       1.472793853470e-13      -5.517880773318e-12       0.000000000000e+00       4.964141546542e-12       8.359548533601e-13      -4.944006210138e-15 
  131       5.025261606851e-10       1.478990283306e-13      -5.576750986797e-12       0.000000000000e+00       4.859690601711e-12       8.226780185607e-13      -4.875108660998e-15 
  132       5.071942619076e-10       1.484541014359e-13      -5.633491644416e-12       0.000000000000e+00       4.758044514663e-12       8.096646049942e-13      -4.805905010700e-15 
  133       5.118608478312e-10       1.489440476634e-13      -5.688034626024e-12       0.000000000000e+00       4.659100251067e-12       7.969006402992e-13      -4.736364309342e-15 
  134       5.165247401771e-10       1.493684042529e-13      -5.740313507227e-12       0.000000000000e+00       4.562780966419e-12       7.844067096477e-13      -4.667339178393e-15 
  135       5.211847207624e-10       1.497267846853e-13      -5.790262781537e-12       0.000000000000e+00       4.469005019511e-12       7.722126162971e-13      -4.599954836651e-15 
  136       5.258395284323e-10       1.500188793882e-13      -5.837817863664e-12       0.000000000000e+00       4.377683395742e-12       7.603375906083e-13      -4.534991078140e-15 
  137       5.304879487033e-10       1.502444756971e-13      -5.882915904448e-12       0.000000000000e+00       4.288745623297e-12       7.487560345448e-13      -4.471616057359e-15 
  138       5.351287302878e-10       1.504034431444e-13      -5.925495130394e-12       0.000000000000e+00       4.202115852719e-12       7.374281834118e-13      -4.408521956510e-15 
